Date, UTT(Trigger) / UTC begin time,Unixtime (UTC) for begin time,Closest unixtime for begin recorded by GPS,Run number (begin time),ANITA Longitude (begin time),ANITA Latitude (begin time),ANITA Altitude (begin time),Unixtime (UTC) for end time,Closest unixtime for end recorded by GPS,Run number (end time),ANITA Longitude (end time),ANITA Latitude (end time),ANITA Altitude (end time),,Azimuth,Altitude
#2014-12-20,6:02:51,1419055371,1419055371,175,126.29,-82.0136,36215,1419076971,1419076971,178,124.87,-81.4123,35445.2,,254.4801367,-34.53938871
#2014-12-21,8:07:10,1419149230,1419149230,192,104.479,-80.6923,36602.1,1419170830,1419170830,195,99.0347,-80.7442,35977.7,,243.8850577,-12.33944542
#2014-12-21,21:31:48,1419197508,1419197508,200,90.5885,-80.0186,35001.6,1419219108,1419219108,204,82.6901,-80.107,36235.1,,316.3298772,83.05866619
#2014-12-22,7:08:55,1419232135,1419232135,207,80.455,-80.1806,36680.9,1419253735,1419253735,210,74.2934,-80.3851,36512.4,,245.8264819,54.49799995
#2014-12-22,16:34:30,1419266070,1419266070,212,71.054,-80.27,35927.8,1419287670,1419287670,215,65.8974,-79.4448,35427.6,,41.79911939,-33.14122263
#2014-12-23,5:45:37,1419313537,1419313537,219,59.4574,-79.3979,36609.9,1419335137,1419335137,224,54.4949,-79.586,36941.1,,266.0100239,20.41057247
#2014-12-25,23:01:13,1419548473,1419542007,256,8.13802,-78.4837,35701.9,1419570073,1419570073,264,2.48008,-77.8773,35877.5,,46.19873518,-26.10167294
#2014-12-26,21:07:24,1419628044,1419628044,272,-11.8334,-78.3992,36456.3,1419649644,1419649644,275,-16.5406,-78.3771,36031.2,,117.674607,-34.25475792
#2014-12-29,11:48:59,1419853739,1419853739,308,-62.0539,-78.4522,36240.1,1419875339,1419875339,311,-66.5866,-78.391,36639.9,,216.787255,9.78266541
#2014-12-29,21:52:10,1419889930,1419889930,313,-69.2719,-78.8657,36860.6,1419911530,1419911530,316,-68.8678,-78.4518,35749.2,,172.5089609,-34.02372201
#2014-12-30,3:24:22,1419909862,1419909862,316,-68.7298,-78.559,35935.1,1419931462,1419931462,319,-72.7968,-78.0527,36186.4,,336.0283256,8.838551577
#2014-12-30,20:00:25,1419969625,1419969625,324,-82.0955,-78.0606,36999.1,1419991225,1419991225,327,-82.1657,-77.9354,35999.6,,226.8921741,-19.92307639
#2014-12-30,20:54:05,1419972845,1419972845,324,-82.3155,-78.1253,36903.9,1419994445,1419994445,327,-82.4983,-77.8427,35811.4,,266.6156665,40.56124395
#2015-01-01,6:28:53,1420093733,1420093733,341,-106.468,-76.1497,34812.8,1420115333,1420115333,344,-111.465,-76.3052,35752.8,,230.2855115,-46.49554757
#2015-01-01,15:23:34,1420125814,1420125814,345,-114.056,-76.4926,36160.5,1420147414,1420147414,348,-121.281,-76.0974,36965.8,,328.3034495,22.67467326
#2015-01-03,20:02:18,1420315338,1420315338,371,-159.27,-74.5763,36762.1,1420336938,1420336938,374,-164.124,-74.5397,37061.1,,233.7706949,41.27482086
#2015-01-05,6:10:00,1420438200,1420438200,389,169.959,-74.5448,37034.5,1420459800,1420459800,392,165.663,-74.3677,35726.2,,120.1852699,7.335237555
#2015-01-06,22:05:56,1420581956,1420581956,409,129.777,-72.9267,35453.3,1420603556,1420603556,412,122.676,-72.9157,36381.7,,194.2314628,-16.95068145
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,this is from my python code,,,,,,,,,,,,,,
,,obtained using column A and B,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"run, lat, lon etc are from root code",,,,,,,,,,,,,,
